"Luchtvaart; maandcijfers Nederlandse luchthavens van nationaal belang"
""
"";"";"Onderwerp"
"";"";"Vliegtuigbewegingen|Overlandbewegingen";"Vliegtuigbewegingen|Terreinbewegingen";"Handelsverkeer|Passagiersvervoer|Totale passagiersvervoer|Totaal aantal passagiers";"Handelsverkeer|Passagiersvervoer|Totale passagiersvervoer|Passagiers op geregelde vluchten";"Handelsverkeer|Passagiersvervoer|Totale passagiersvervoer|Passagiers op ongeregelde vluchten";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Alle passagiers naar herkomst/bestemming";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Europese bestemmingen|Europa totaal";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Totaal op intercontinentale vluchten"
"Luchthavens";"Perioden";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Maastricht Aachen Airport";"2000 2e kwartaal";"6808";"11362";"111515";"41694";"69821";"111515";"110815";"692"
"Maastricht Aachen Airport";"2001 2e kwartaal";"6350";"10094";"103657";"43452";"60205";"103657";"103631";"0"
"Maastricht Aachen Airport";"2002 2e kwartaal";"5310";"8492";"95725";"27378";"68347";"95725";"93118";"2591"
"Maastricht Aachen Airport";"2003 2e kwartaal";"3921";"6884";"77848";"29763";"48085";"77848";"77846";"2"
"Maastricht Aachen Airport";"2004 2e kwartaal";"3655";"5406";"72621";"17513";"55108";"72621";"72621";"0"
"Maastricht Aachen Airport";"2005 2e kwartaal";"3350";"1410";"99327";"44615";"54712";"99327";"98638";"689"
"Maastricht Aachen Airport";"2006 2e kwartaal";"4401";"921";"83817";"51986";"31831";"83817";"83068";"711"
"Maastricht Aachen Airport";"2007 2e kwartaal";"3931";"1536";"31077";"29937";"1140";"31077";"31075";"1"
"Maastricht Aachen Airport";"2008 2e kwartaal";"4611";"4949";"67499";"66921";"578";"67499";"67489";"10"
"Maastricht Aachen Airport";"2009 2e kwartaal";"3809";"6474";"44914";"44792";"122";"44914";"44914";"0"
"Maastricht Aachen Airport";"2010 2e kwartaal";"4243";"6816";"59429";"57802";"1627";"59429";"58624";"805"
"Maastricht Aachen Airport";"2011 2e kwartaal";"3165";"4024";"116627";"115498";"1129";"116627";"116458";"169"
"Maastricht Aachen Airport";"2012 2e kwartaal";"2781";"3460";"101977";"100523";"1454";"101977";"101971";"2"
"Maastricht Aachen Airport";"2013 2e kwartaal";"2897";"1056";"131265";"131006";"259";"131265";"131259";"6"
"Maastricht Aachen Airport";"2014 2e kwartaal";"2395";"468";"72612";"71926";"686";"72612";"72591";"21"
"Maastricht Aachen Airport";"2015 2e kwartaal";"2666";"4944";"64295";"62946";"1349";"64295";"64291";"1"
"Maastricht Aachen Airport";"2016 2e kwartaal";"2552";"3276";"79512";"73825";"5687";"79512";"79503";"9"
"Maastricht Aachen Airport";"2017 2e kwartaal";"2481";"3286";"55860";"54132";"1728";"55860";"55841";"3"
"Maastricht Aachen Airport";"2018 2e kwartaal";"2783";"1562";"83194";"81014";"2180";"83194";"81201";"1975"
"Maastricht Aachen Airport";"2019 2e kwartaal";"3239";"818";"132577";"128034";"4543";"132577";"128434";"4132"
"Maastricht Aachen Airport";"2020 2e kwartaal";"1792";"604";"398";"159";"239";"398";"391";"3"
"Maastricht Aachen Airport";"2021 2e kwartaal";"2443";"988";"8151";"8130";"21";"8151";"8148";"1"
"Maastricht Aachen Airport";"2022 2e kwartaal";"3269";"1154";"58133";"54908";"3225";"58133";"57753";"378"
"Maastricht Aachen Airport";"2023 2e kwartaal*";"762";"378";"19181";"18695";"486";"19181";"18997";"182"
"Maastricht Aachen Airport";"2024 2e kwartaal*";"2197";"838";"66603";"65329";"1274";"66603";"66424";"170"
"Groningen Airport Eelde";"1999 2e kwartaal";"4613";"18722";"28768";"707";"28061";"28768";"0";"0"
"Groningen Airport Eelde";"2000 2e kwartaal";"3769";"16860";"14194";"346";"13848";"14194";"14194";"0"
"Groningen Airport Eelde";"2001 2e kwartaal";"3866";"14612";"27507";"153";"27354";"27507";"27507";"0"
"Groningen Airport Eelde";"2002 2e kwartaal";"4194";"15412";"37972";"1558";"36414";"37972";"37972";"0"
"Groningen Airport Eelde";"2003 2e kwartaal";"3506";"12402";"39740";"8509";"31231";"39740";"39740";"0"
"Groningen Airport Eelde";"2004 2e kwartaal";"4292";"7852";"38002";"8420";"29582";"38002";"38002";"0"
"Groningen Airport Eelde";"2005 2e kwartaal";"4307";"8426";"43189";"2866";"40323";"43189";"43189";"0"
"Groningen Airport Eelde";"2006 2e kwartaal";"3769";"10590";"41847";"2944";"38903";"41847";"41847";"0"
"Groningen Airport Eelde";"2007 2e kwartaal";"4100";"12112";"42638";"5002";"37636";"42638";"42638";"0"
"Groningen Airport Eelde";"2008 2e kwartaal";"4186";"14742";"51329";"4095";"47234";"51329";"51329";"0"
"Groningen Airport Eelde";"2009 2e kwartaal";"3912";"14070";"41809";"1438";"40371";"41809";"41809";"0"
"Groningen Airport Eelde";"2010 2e kwartaal";"4302";"18538";"39841";"1276";"38565";"39841";"39841";"0"
"Groningen Airport Eelde";"2011 2e kwartaal";"3934";"12846";"36370";"1530";"34840";"36370";"36370";"0"
"Groningen Airport Eelde";"2012 2e kwartaal";"3266";"9048";"54094";"14896";"39198";"54094";"54094";"0"
"Groningen Airport Eelde";"2013 2e kwartaal";"2693";"7678";"54862";"17127";"37735";"54862";"54862";"0"
"Groningen Airport Eelde";"2014 2e kwartaal";"3097";"8944";"51321";"15919";"35402";"51321";"51321";"0"
"Groningen Airport Eelde";"2015 2e kwartaal";"2846";"2820";"54353";"12902";"41451";"54353";"54353";"0"
"Groningen Airport Eelde";"2016 2e kwartaal";"2896";"4190";"44116";"13531";"30585";"44116";"44116";"0"
"Groningen Airport Eelde";"2017 2e kwartaal";"2920";"4598";"61401";"22731";"38670";"61401";"61401";"0"
"Groningen Airport Eelde";"2018 2e kwartaal";"3613";"5324";"64852";"31318";"33534";"64852";"64852";"0"
"Groningen Airport Eelde";"2019 2e kwartaal";"3441";"5378";"56820";"11339";"45481";"56820";"56707";"113"
"Groningen Airport Eelde";"2020 2e kwartaal";"1977";"5530";"47";"0";"47";"47";"47";"0"
"Groningen Airport Eelde";"2021 2e kwartaal";"2805";"16326";"694";"0";"694";"694";"694";"0"
"Groningen Airport Eelde";"2022 2e kwartaal";"3332";"13946";"23156";"0";"23156";"23156";"23156";"0"
"Groningen Airport Eelde";"2023 2e kwartaal*";"3324";"15193";"28646";"0";"28646";"28646";"28263";"383"
"Groningen Airport Eelde";"2024 2e kwartaal*";"2955";"15467";"28619";"0";"28619";"28619";"28619";"0"
"Bron: CBS"
