"Luchtvaart; maandcijfers Nederlandse luchthavens van nationaal belang"
""
"";"";"Onderwerp"
"";"";"Vliegtuigbewegingen|Overlandbewegingen";"Vliegtuigbewegingen|Terreinbewegingen";"Handelsverkeer|Vluchten|Alle vluchten|Totaal alle vluchten";"Handelsverkeer|Vluchten|Alle vluchten|Geregelde vluchten";"Handelsverkeer|Vluchten|Alle vluchten|Ongeregelde vluchten";"Handelsverkeer|Vluchten|Aangekomen vluchten|Totaal aangekomen vluchten";"Handelsverkeer|Vluchten|Aangekomen vluchten|Geregelde vluchten";"Handelsverkeer|Vluchten|Aangekomen vluchten|Ongeregelde vluchten";"Handelsverkeer|Vluchten|Vertrokken vluchten|Totaal vertrokken vluchten";"Handelsverkeer|Vluchten|Vertrokken vluchten|Geregelde vluchten";"Handelsverkeer|Vluchten|Vertrokken vluchten|Ongeregelde vluchten";"Handelsverkeer|Passagiersvervoer|Totale passagiersvervoer|Totaal aantal passagiers";"Handelsverkeer|Passagiersvervoer|Totale passagiersvervoer|Passagiers op geregelde vluchten";"Handelsverkeer|Passagiersvervoer|Totale passagiersvervoer|Passagiers op ongeregelde vluchten";"Handelsverkeer|Passagiersvervoer|Aangekomen passagiers|Totaal aangekomen passagiers";"Handelsverkeer|Passagiersvervoer|Aangekomen passagiers|Passagiers op geregelde vluchten";"Handelsverkeer|Passagiersvervoer|Aangekomen passagiers|Passagiers op ongeregelde vluchten";"Handelsverkeer|Passagiersvervoer|Vertrokken passagiers|Totaal vertrokken passagiers";"Handelsverkeer|Passagiersvervoer|Vertrokken passagiers|Passagiers op geregelde vluchten";"Handelsverkeer|Passagiersvervoer|Vertrokken passagiers|Passagiers op ongeregelde vluchten";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Alle passagiers naar herkomst/bestemming";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Europese bestemmingen|Europa totaal";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Europese bestemmingen|EU-landen";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Europese bestemmingen|Overig Europa";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Totaal op intercontinentale vluchten";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Afrika|Afrika";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Afrika|Noord-Afrika";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Afrika|West-Afrika";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Afrika|Centraal-Afrika";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Afrika|Oost-Afrika";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Afrika|Zuid-Afrika";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Amerika|Amerika";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Amerika|Noord-Amerika";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Amerika|Midden-Amerika";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Amerika|Zuid-Amerika";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Azië|Azië";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Azië|West-Azië";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Azië|Zuidoost-Azië";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Azië|Noordoost-Azië";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Oceanië";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Overig/onbekend intercontinentaal";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Onbekend"
"Eindhoven Airport";"2018 2e kwartaal";"10383";"2";"9965";"9704";"261";"4984";"4835";"149";"4981";"4869";"112";"1706781";"1677280";"29501";"841645";"828021";"13624";"865136";"849259";"15877";"1706781";"1639500";"1573547";"65953";"67281";"54112";"54112";"0";"0";"0";"0";"0";"0";"0";"0";"13169";"13169";"0";"0";"0";"0";"0"
"Eindhoven Airport";"2019 2e kwartaal";"11653";"0";"11342";"11079";"263";"5668";"5523";"145";"5674";"5556";"118";"1920237";"1918852";"1385";"945681";"944894";"787";"974556";"973958";"598";"1920237";"1835282";"1722221";"113061";"84955";"70010";"67863";"2147";"0";"0";"0";"0";"0";"0";"0";"14945";"14945";"0";"0";"0";"0";"0"
"Eindhoven Airport";"2020 2e kwartaal";"1021";"1";"891";"783";"108";"453";"390";"63";"438";"393";"45";"66614";"64545";"2069";"31900";"29859";"2041";"34714";"34686";"28";"66614";"66614";"62690";"3924";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Eindhoven Airport";"2021 2e kwartaal";"2679";"0";"2363";"2175";"188";"1192";"1086";"106";"1171";"1089";"82";"227211";"226857";"354";"101935";"101815";"120";"125276";"125042";"234";"227211";"222563";"205226";"17337";"4648";"4648";"4648";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Eindhoven Airport";"2022 2e kwartaal";"11263";"0";"10882";"10548";"334";"5444";"5253";"191";"5438";"5295";"143";"1795905";"1794667";"1238";"875555";"874939";"616";"920350";"919728";"622";"1795905";"1754719";"1555368";"199351";"41186";"41186";"41186";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Eindhoven Airport";"2023 2e kwartaal*";"11414";"0";"11133";"10805";"328";"5564";"5390";"174";"5569";"5415";"154";"1903041";"1891180";"11861";"933841";"928020";"5821";"969200";"963160";"6040";"1903041";"1846523";"1617992";"228531";"56518";"56518";"56518";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Eindhoven Airport";"2024 2e kwartaal*";"11445";"0";"11180";"11015";"165";"5592";"5498";"94";"5588";"5517";"71";"1956814";"1955874";"940";"962984";"962466";"518";"993830";"993408";"422";"1956814";"1894880";"1667597";"227283";"61934";"61934";"61934";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Maastricht Aachen Airport";"2000 2e kwartaal";"6808";"11362";"3462";"2374";"1088";"1734";"1178";"556";"1728";"1196";"532";"111515";"41694";"69821";"48365";"20758";"27607";"63150";"20936";"42214";"111515";"110815";"96585";"14230";"692";"691";"691";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"8"
"Maastricht Aachen Airport";"2001 2e kwartaal";"6350";"10094";"3179";"2311";"868";"1589";"1156";"433";"1590";"1155";"435";"103657";"43452";"60205";"43786";"21739";"22047";"59871";"21713";"38158";"103657";"103631";"89732";"13899";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"26"
"Maastricht Aachen Airport";"2002 2e kwartaal";"5310";"8492";"2408";"1529";"879";"1204";"763";"441";"1204";"766";"438";"95725";"27378";"68347";"38269";"13637";"24632";"57456";"13741";"43715";"95725";"93118";"74956";"18162";"2591";"2585";"3";"2575";"7";"0";"0";"1";"1";"0";"0";"5";"5";"0";"0";"0";"0";"16"
"Maastricht Aachen Airport";"2003 2e kwartaal";"3921";"6884";"1962";"1127";"835";"980";"562";"418";"982";"565";"417";"77848";"29763";"48085";"37258";"14757";"22501";"40590";"15006";"25584";"77848";"77846";"62934";"14912";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0"
"Maastricht Aachen Airport";"2004 2e kwartaal";"3655";"5406";"1864";"1024";"840";"935";"511";"424";"929";"513";"416";"72621";"17513";"55108";"35788";"8658";"27130";"36833";"8855";"27978";"72621";"72621";"46139";"26482";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Maastricht Aachen Airport";"2005 2e kwartaal";"3350";"1410";"2100";"1348";"752";"1043";"674";"369";"1057";"674";"383";"99327";"44615";"54712";"48154";"22405";"25749";"51173";"22210";"28963";"99327";"98638";"63459";"35179";"689";"439";"439";"0";"0";"0";"0";"0";"0";"0";"0";"250";"250";"0";"0";"0";"0";"0"
"Maastricht Aachen Airport";"2006 2e kwartaal";"4401";"921";"3353";"2472";"881";"1673";"1236";"437";"1680";"1236";"444";"83817";"51986";"31831";"40363";"25907";"14456";"43454";"26079";"17375";"83817";"83068";"61733";"21335";"711";"697";"131";"563";"0";"0";"3";"4";"0";"0";"4";"10";"10";"0";"0";"0";"0";"38"
"Maastricht Aachen Airport";"2007 2e kwartaal";"3931";"1536";"2716";"2466";"250";"1359";"1233";"126";"1357";"1233";"124";"31077";"29937";"1140";"14653";"14007";"646";"16424";"15930";"494";"31077";"31075";"31065";"10";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"Maastricht Aachen Airport";"2008 2e kwartaal";"4611";"4949";"3043";"2828";"215";"1518";"1412";"106";"1525";"1416";"109";"67499";"66921";"578";"32562";"32157";"405";"34937";"34764";"173";"67499";"67489";"63198";"4291";"10";"2";"0";"0";"2";"0";"0";"0";"0";"0";"0";"8";"8";"0";"0";"0";"0";"0"
"Maastricht Aachen Airport";"2009 2e kwartaal";"3809";"6474";"1996";"1922";"74";"1000";"960";"40";"996";"962";"34";"44914";"44792";"122";"21965";"21882";"83";"22949";"22910";"39";"44914";"44914";"41398";"3516";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Maastricht Aachen Airport";"2010 2e kwartaal";"4243";"6816";"2127";"2013";"114";"1066";"1009";"57";"1061";"1004";"57";"59429";"57802";"1627";"28832";"27566";"1266";"30597";"30236";"361";"59429";"58624";"53158";"5466";"805";"4";"4";"0";"0";"0";"0";"801";"319";"0";"482";"0";"0";"0";"0";"0";"0";"0"
"Maastricht Aachen Airport";"2011 2e kwartaal";"3165";"4024";"1788";"1653";"135";"894";"827";"67";"894";"826";"68";"116627";"115498";"1129";"56431";"55864";"567";"60196";"59634";"562";"116627";"116458";"111908";"4550";"169";"169";"169";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Maastricht Aachen Airport";"2012 2e kwartaal";"2781";"3460";"1557";"1365";"192";"779";"682";"97";"778";"683";"95";"101977";"100523";"1454";"49123";"48529";"594";"52854";"51994";"860";"101977";"101971";"99369";"2602";"2";"0";"0";"0";"0";"0";"0";"2";"0";"0";"2";"0";"0";"0";"0";"0";"0";"4"
"Maastricht Aachen Airport";"2013 2e kwartaal";"2897";"1056";"1800";"1641";"159";"902";"821";"81";"898";"820";"78";"131265";"131006";"259";"64564";"64478";"86";"66701";"66528";"173";"131265";"131259";"125635";"5624";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"6";"0";"0";"0";"0";"0"
"Maastricht Aachen Airport";"2014 2e kwartaal";"2395";"468";"1325";"1165";"160";"664";"582";"82";"661";"583";"78";"72612";"71926";"686";"34750";"34395";"355";"37862";"37531";"331";"72612";"72591";"68573";"4018";"21";"19";"19";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0"
"Maastricht Aachen Airport";"2015 2e kwartaal";"2666";"4944";"1116";"941";"175";"557";"471";"86";"559";"470";"89";"64295";"62946";"1349";"31472";"30801";"671";"32823";"32145";"678";"64295";"64291";"60771";"3520";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"3"
"Maastricht Aachen Airport";"2016 2e kwartaal";"2552";"3276";"1210";"938";"272";"608";"469";"139";"602";"469";"133";"79512";"73825";"5687";"39985";"36903";"3082";"39527";"36922";"2605";"79512";"79503";"73449";"6054";"9";"0";"0";"0";"0";"0";"0";"9";"9";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Maastricht Aachen Airport";"2017 2e kwartaal";"2481";"3286";"1158";"879";"279";"568";"439";"129";"590";"440";"150";"55860";"54132";"1728";"27521";"26483";"1038";"28339";"27649";"690";"55860";"55841";"54401";"1440";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"3";"0";"0";"0";"0";"16"
"Maastricht Aachen Airport";"2018 2e kwartaal";"2783";"1562";"1571";"1309";"262";"788";"655";"133";"783";"654";"129";"83194";"81014";"2180";"38206";"36925";"1281";"44988";"44089";"899";"83194";"81201";"69165";"12036";"1975";"1787";"1783";"0";"0";"4";"0";"188";"188";"0";"0";"0";"0";"0";"0";"0";"0";"18"
"Maastricht Aachen Airport";"2019 2e kwartaal";"3239";"818";"2023";"1666";"357";"1009";"835";"174";"1014";"831";"183";"132577";"128034";"4543";"62722";"60348";"2374";"69855";"67686";"2169";"132577";"128434";"96930";"31504";"4132";"4130";"4130";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0";"0";"0";"11"
"Maastricht Aachen Airport";"2020 2e kwartaal";"1792";"604";"1270";"892";"378";"634";"445";"189";"636";"447";"189";"398";"159";"239";"190";"1";"189";"208";"158";"50";"398";"391";"391";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"3";"0";"0";"4"
"Maastricht Aachen Airport";"2021 2e kwartaal";"2443";"988";"1578";"1238";"340";"776";"619";"157";"802";"619";"183";"8151";"8130";"21";"2989";"2986";"3";"5162";"5144";"18";"8151";"8148";"7657";"491";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"2"
"Maastricht Aachen Airport";"2022 2e kwartaal";"3269";"1154";"1655";"1188";"467";"818";"593";"225";"837";"595";"242";"58133";"54908";"3225";"27931";"26375";"1556";"30202";"28533";"1669";"58133";"57753";"42461";"15292";"378";"160";"160";"0";"0";"0";"0";"36";"17";"0";"19";"182";"0";"182";"0";"0";"0";"2"
"Maastricht Aachen Airport";"2023 2e kwartaal*";"762";"378";"386";"242";"144";"190";"120";"70";"196";"122";"74";"19181";"18695";"486";"9419";"9102";"317";"9762";"9593";"169";"19181";"18997";"15620";"3377";"182";"182";"182";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"Maastricht Aachen Airport";"2024 2e kwartaal*";"2197";"838";"1202";"795";"407";"601";"400";"201";"601";"395";"206";"66603";"65329";"1274";"31804";"31128";"676";"34799";"34201";"598";"66603";"66424";"53619";"12805";"170";"0";"0";"0";"0";"0";"0";"24";"24";"0";"0";"146";"146";"0";"0";"0";"0";"9"
"Groningen Airport Eelde";"2000 2e kwartaal";"3769";"16860";"465";"82";"383";"230";"42";"188";"235";"40";"195";"14194";"346";"13848";"6725";"175";"6550";"7469";"171";"7298";"14194";"14194";"13018";"1176";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Groningen Airport Eelde";"2001 2e kwartaal";"3866";"14612";"398";"36";"362";"196";"18";"178";"202";"18";"184";"27507";"153";"27354";"10890";"72";"10818";"16617";"81";"16536";"27507";"27507";"25738";"1769";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Groningen Airport Eelde";"2002 2e kwartaal";"4194";"15412";"902";"442";"460";"454";"219";"235";"448";"223";"225";"37972";"1558";"36414";"17888";"700";"17188";"20084";"858";"19226";"37972";"37972";"34768";"3204";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Groningen Airport Eelde";"2003 2e kwartaal";"3506";"12402";"505";"120";"385";"255";"60";"195";"250";"60";"190";"39740";"8509";"31231";"18557";"4043";"14514";"21183";"4466";"16717";"39740";"39740";"37129";"2611";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Groningen Airport Eelde";"2004 2e kwartaal";"4292";"7852";"578";"180";"398";"287";"90";"197";"291";"90";"201";"38002";"8420";"29582";"18418";"4154";"14264";"19584";"4266";"15318";"38002";"38002";"29294";"8708";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Groningen Airport Eelde";"2005 2e kwartaal";"4307";"8426";"718";"126";"592";"362";"63";"299";"356";"63";"293";"43189";"2866";"40323";"21413";"1398";"20015";"21776";"1468";"20308";"43189";"43189";"27723";"15466";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Groningen Airport Eelde";"2006 2e kwartaal";"3769";"10590";"622";"122";"500";"312";"61";"251";"310";"61";"249";"41847";"2944";"38903";"19941";"1444";"18497";"21906";"1500";"20406";"41847";"41847";"33537";"8310";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Groningen Airport Eelde";"2007 2e kwartaal";"4100";"12112";"774";"300";"474";"386";"150";"236";"388";"150";"238";"42638";"5002";"37636";"20468";"2446";"18022";"22170";"2556";"19614";"42638";"42638";"37453";"5185";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Groningen Airport Eelde";"2008 2e kwartaal";"4186";"14742";"819";"274";"545";"407";"137";"270";"412";"137";"275";"51329";"4095";"47234";"24517";"2113";"22404";"26812";"1982";"24830";"51329";"51329";"42117";"9212";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Groningen Airport Eelde";"2009 2e kwartaal";"3912";"14070";"565";"114";"451";"278";"57";"221";"287";"57";"230";"41809";"1438";"40371";"19920";"733";"19187";"21889";"705";"21184";"41809";"41809";"34494";"7315";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Groningen Airport Eelde";"2010 2e kwartaal";"4302";"18538";"537";"106";"431";"269";"53";"216";"268";"53";"215";"39841";"1276";"38565";"18808";"646";"18162";"21033";"630";"20403";"39841";"39841";"31922";"7919";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Groningen Airport Eelde";"2011 2e kwartaal";"3934";"12846";"537";"130";"407";"270";"65";"205";"267";"65";"202";"36370";"1530";"34840";"17317";"707";"16610";"19053";"823";"18230";"36370";"36370";"28672";"7698";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Groningen Airport Eelde";"2012 2e kwartaal";"3266";"9048";"622";"192";"430";"309";"96";"213";"313";"96";"217";"54094";"14896";"39198";"25967";"7227";"18740";"28127";"7669";"20458";"54094";"54094";"46712";"7382";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Groningen Airport Eelde";"2013 2e kwartaal";"2693";"7678";"507";"130";"377";"256";"65";"191";"251";"65";"186";"54862";"17127";"37735";"26400";"8372";"18028";"28462";"8755";"19707";"54862";"54862";"44516";"10346";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Groningen Airport Eelde";"2014 2e kwartaal";"3097";"8944";"534";"146";"388";"263";"73";"190";"271";"73";"198";"51321";"15919";"35402";"24686";"7624";"17062";"26635";"8295";"18340";"51321";"51321";"42408";"8913";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Groningen Airport Eelde";"2015 2e kwartaal";"2846";"2820";"690";"192";"498";"344";"96";"248";"346";"96";"250";"54353";"12902";"41451";"26355";"6456";"19899";"27998";"6446";"21552";"54353";"54353";"42887";"11466";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Groningen Airport Eelde";"2016 2e kwartaal";"2896";"4190";"631";"246";"385";"316";"123";"193";"315";"123";"192";"44116";"13531";"30585";"21204";"6657";"14547";"22912";"6874";"16038";"44116";"44116";"37268";"6848";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Groningen Airport Eelde";"2017 2e kwartaal";"2920";"4598";"997";"530";"467";"493";"265";"228";"504";"265";"239";"61401";"22731";"38670";"29707";"11159";"18548";"31694";"11572";"20122";"61401";"61401";"59251";"2150";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Groningen Airport Eelde";"2018 2e kwartaal";"3613";"5324";"1293";"918";"375";"642";"458";"184";"651";"460";"191";"64852";"31318";"33534";"31561";"15529";"16032";"33291";"15789";"17502";"64852";"64852";"60043";"4809";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Groningen Airport Eelde";"2019 2e kwartaal";"3441";"5378";"967";"527";"440";"484";"263";"221";"483";"264";"219";"56820";"11339";"45481";"27496";"5557";"21939";"29324";"5782";"23542";"56820";"56707";"51484";"5223";"113";"0";"0";"0";"0";"0";"0";"113";"113";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Groningen Airport Eelde";"2020 2e kwartaal";"1977";"5530";"18";"0";"18";"11";"0";"11";"7";"0";"7";"47";"0";"47";"22";"0";"22";"25";"0";"25";"47";"47";"47";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Groningen Airport Eelde";"2021 2e kwartaal";"2805";"16326";"106";"0";"106";"50";"0";"50";"56";"0";"56";"694";"0";"694";"351";"0";"351";"343";"0";"343";"694";"694";"694";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Groningen Airport Eelde";"2022 2e kwartaal";"3332";"13946";"330";"0";"330";"167";"0";"167";"163";"0";"163";"23156";"0";"23156";"11103";"0";"11103";"12053";"0";"12053";"23156";"23156";"16867";"6289";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Groningen Airport Eelde";"2023 2e kwartaal*";"3324";"15193";"313";"0";"313";"150";"0";"150";"163";"0";"163";"28646";"0";"28646";"13896";"0";"13896";"14750";"0";"14750";"28646";"28263";"16449";"11814";"383";"142";"142";"0";"0";"0";"0";"241";"0";"241";"0";"0";"0";"0";"0";"0";"0";"0"
"Groningen Airport Eelde";"2024 2e kwartaal*";"2955";"15467";"310";"0";"310";"149";"0";"149";"161";"0";"161";"28619";"0";"28619";"14024";"0";"14024";"14595";"0";"14595";"28619";"28619";"17768";"10851";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bron: CBS"
