"Luchtvaart; maandcijfers Nederlandse luchthavens van nationaal belang"
""
"";"";"Onderwerp"
"";"";"Vliegtuigbewegingen|Overlandbewegingen";"Vliegtuigbewegingen|Terreinbewegingen";"Handelsverkeer|Vluchten|Alle vluchten|Totaal alle vluchten";"Handelsverkeer|Vluchten|Alle vluchten|Geregelde vluchten";"Handelsverkeer|Vluchten|Alle vluchten|Ongeregelde vluchten";"Handelsverkeer|Vluchten|Aangekomen vluchten|Totaal aangekomen vluchten";"Handelsverkeer|Vluchten|Aangekomen vluchten|Geregelde vluchten";"Handelsverkeer|Vluchten|Aangekomen vluchten|Ongeregelde vluchten";"Handelsverkeer|Vluchten|Vertrokken vluchten|Totaal vertrokken vluchten";"Handelsverkeer|Vluchten|Vertrokken vluchten|Geregelde vluchten";"Handelsverkeer|Vluchten|Vertrokken vluchten|Ongeregelde vluchten";"Handelsverkeer|Passagiersvervoer|Totale passagiersvervoer|Totaal aantal passagiers";"Handelsverkeer|Passagiersvervoer|Totale passagiersvervoer|Passagiers op geregelde vluchten";"Handelsverkeer|Passagiersvervoer|Totale passagiersvervoer|Passagiers op ongeregelde vluchten";"Handelsverkeer|Passagiersvervoer|Aangekomen passagiers|Totaal aangekomen passagiers";"Handelsverkeer|Passagiersvervoer|Aangekomen passagiers|Passagiers op geregelde vluchten";"Handelsverkeer|Passagiersvervoer|Aangekomen passagiers|Passagiers op ongeregelde vluchten";"Handelsverkeer|Passagiersvervoer|Vertrokken passagiers|Totaal vertrokken passagiers";"Handelsverkeer|Passagiersvervoer|Vertrokken passagiers|Passagiers op geregelde vluchten";"Handelsverkeer|Passagiersvervoer|Vertrokken passagiers|Passagiers op ongeregelde vluchten";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Alle passagiers naar herkomst/bestemming";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Europese bestemmingen|Europa totaal";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Europese bestemmingen|EU-landen";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Europese bestemmingen|Overig Europa";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Totaal op intercontinentale vluchten";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Afrika|Afrika";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Afrika|Noord-Afrika";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Afrika|West-Afrika";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Afrika|Centraal-Afrika";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Afrika|Oost-Afrika";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Afrika|Zuid-Afrika";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Amerika|Amerika";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Amerika|Noord-Amerika";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Amerika|Midden-Amerika";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Amerika|Zuid-Amerika";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Azië|Azië";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Azië|West-Azië";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Azië|Zuidoost-Azië";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Azië|Noordoost-Azië";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Oceanië";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Intercontinentaal|Overig/onbekend intercontinentaal";"Handelsverkeer|Passagiersvervoer|Herkomst / bestemming passagiers|Onbekend"
"Totaal luchthavens van nationaal belang";"2019 2e kwartaal";"161074";"14472";"149788";"145907";"3881";"74885";"72890";"1995";"74903";"73017";"1886";"21794353";"21530472";"263881";"10837637";"10714300";"123337";"10956716";"10816172";"140544";"21794353";"16250602";"13969072";"2281530";"5543740";"771129";"294595";"141614";"23136";"180253";"131531";"2961569";"2150408";"414695";"396466";"1811042";"653177";"417798";"740067";"0";"0";"11"
"Totaal luchthavens van nationaal belang";"2020 2e kwartaal";"27179";"12805";"20651";"18502";"2149";"10319";"9229";"1090";"10332";"9273";"1059";"880416";"862656";"17760";"442742";"433732";"9010";"437674";"428924";"8750";"880416";"612635";"507396";"105239";"267777";"14156";"4245";"1506";"776";"1542";"6087";"146839";"99812";"19665";"27362";"106279";"22065";"42541";"41673";"503";"0";"4"
"Totaal luchthavens van nationaal belang";"2021 2e kwartaal";"63740";"26902";"53579";"51214";"2365";"26777";"25591";"1186";"26802";"25623";"1179";"3857879";"3835811";"22068";"1880931";"1872087";"8844";"1976948";"1963724";"13224";"3857879";"2848270";"2212784";"635486";"1009607";"179736";"42305";"46555";"6954";"57691";"26231";"566972";"302647";"177265";"87060";"262899";"126392";"68912";"67595";"0";"0";"2"
"Totaal luchthavens van nationaal belang";"2022 2e kwartaal";"141723";"24331";"126895";"121940";"4955";"63408";"60817";"2591";"63487";"61123";"2364";"17349537";"16993984";"355553";"8643222";"8478927";"164295";"8706315";"8515057";"191258";"17349537";"13347966";"9640147";"3707819";"4001569";"578947";"209062";"119322";"13180";"129405";"107978";"2566812";"1738099";"445272";"383441";"855810";"486194";"294118";"75498";"0";"0";"2"
"Totaal luchthavens van nationaal belang";"2023 2e kwartaal*";"144810";"24638";"131716";"128119";"3597";"65840";"63993";"1847";"65876";"64126";"1750";"18967094";"18684428";"282666";"9461458";"9328918";"132540";"9505636";"9355510";"150126";"18967094";"14088723";"10095189";"3993534";"4878369";"690335";"273930";"132731";"13820";"145184";"124670";"2805195";"2005108";"423713";"376374";"1382839";"624670";"376281";"381888";"0";"0";"2"
"Totaal luchthavens van nationaal belang";"2024 2e kwartaal*";"151560";"25072";"139766";"136382";"3384";"69871";"68139";"1732";"69895";"68243";"1652";"20088781";"19814909";"273872";"10051042";"9920133";"130909";"10037739";"9894776";"142963";"20088781";"15166500";"10912632";"4253868";"4922272";"675385";"295020";"120118";"12031";"136081";"112135";"2813906";"2034589";"425184";"354133";"1432981";"545537";"399628";"487816";"0";"0";"9"
"Amsterdam Airport Schiphol";"2000 2e kwartaal";"109668";"1062";"105560";"96243";"9317";"52785";"48118";"4667";"52775";"48125";"4650";"10266231";"8942739";"1323492";"5099941";"4473886";"626055";"5166290";"4468853";"697437";"10266231";"6957792";"5710634";"1247158";"3308439";"365223";"162606";"71058";"0";"72655";"58904";"1854402";"1524542";"172210";"157650";"1066354";"363007";"347533";"355814";"22460";"0";"0"
"Amsterdam Airport Schiphol";"2001 2e kwartaal";"110981";"1000";"107615";"98007";"9608";"53803";"48992";"4811";"53812";"49015";"4797";"10655612";"9310701";"1344911";"5295884";"4664717";"631167";"5359728";"4645984";"713744";"10655612";"7279629";"5884328";"1395301";"3375983";"396382";"161966";"78750";"0";"91620";"64046";"1877689";"1503632";"192642";"181415";"1101912";"364613";"383192";"354107";"0";"0";"0"
"Amsterdam Airport Schiphol";"2002 2e kwartaal";"106754";"985";"103225";"93971";"9254";"51610";"46987";"4623";"51615";"46984";"4631";"10670023";"9369316";"1300707";"5285087";"4679867";"605220";"5384936";"4689449";"695487";"10670023";"7533284";"6011076";"1522208";"3136739";"402232";"138741";"94364";"70";"89502";"79555";"1678910";"1303404";"207374";"168132";"1055597";"333039";"363488";"359070";"0";"0";"0"
"Amsterdam Airport Schiphol";"2003 2e kwartaal";"102132";"1013";"98967";"89748";"9219";"49479";"44853";"4626";"49488";"44895";"4593";"9951282";"8821235";"1130047";"4905806";"4391816";"513990";"5045476";"4429419";"616057";"9951282";"7196063";"5775621";"1420442";"2755219";"368138";"117210";"86758";"0";"85766";"78404";"1597863";"1184564";"240947";"172352";"789218";"261144";"314308";"213766";"0";"0";"0"
