TIME;2000-Q2;2001-Q2;2002-Q2;2003-Q2;2004-Q2;2005-Q2;2006-Q2;2007-Q2;2008-Q2;2009-Q2;2010-Q2;2011-Q2;2012-Q2;2013-Q2;2014-Q2;2015-Q2;2016-Q2;2017-Q2;2018-Q2;2019-Q2;2023-Q2;2024-Q2
AIRP_PR (Labels);;;;;;;;;;;;;;;;;;;;;;
MAASTRICHT/AACHEN airport - KATOWICE/PYRZOWICE airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;7,627;9,621;8,102;:;:;:;:
MAASTRICHT/AACHEN airport - FARO airport;8,335;:;:;:;:;:;:;:;:;:;7,674;10,931;7,192;6,879;7,381;8,481;:;4,307;:;:;:;:
MAASTRICHT/AACHEN airport - PORTO airport;:;:;:;:;:;:;:;:;:;:;:;8,143;7,967;8,051;8,414;8,795;:;:;:;:;3,592;:
MAASTRICHT/AACHEN airport - BUCURESTI/BANEASA-AUREL VLAICU airport;:;:;:;:;:;:;6,673;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
MAASTRICHT/AACHEN airport - ANTALYA (MIL-CIV) airport;:;6,977;10,167;8,227;14,769;21,027;11,340;:;:;:;4,604;:;:;5,068;3,694;:;:;:;11,923;21,654;:;:
MAASTRICHT/AACHEN airport - ISTANBUL/ATATURK airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
MAASTRICHT/AACHEN airport - MUGLA/DALAMAN airport;:;5,149;7,429;:;4,732;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
MAASTRICHT/AACHEN airport - MUGLA/MILAS-BODRUM airport;:;:;:;:;5,585;5,248;:;:;:;:;:;:;:;:;:;:;:;:;:;6,554;:;:
MAASTRICHT/AACHEN airport - LONDON STANSTED airport;12,831;9,998;7,050;13,633;:;:;:;:;:;:;:;:;:;14,260;:;:;:;:;:;:;3,118;:
EINDHOVEN airport - TIRANA airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;24,176;38,117
EINDHOVEN airport - INNSBRUCK airport;:;:;:;:;:;:;:;:;:;:;:;:;:;245;4,642;5,003;5,700;4,217;2,999;3,115;2,919;1,296
EINDHOVEN airport - WIEN-SCHWECHAT airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;10,519;17,583;9,094
EINDHOVEN airport - TUZLA airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;8,204;6,972;:;9,215;13,309;:;:
EINDHOVEN airport - SOFIA airport;:;:;:;:;:;:;:;:;:;:;8,546;11,857;11,304;15,951;18,629;16,977;14,875;36,718;38,088;36,650;51,981;57,038
EINDHOVEN airport - VARNA airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;13,530;13,725
EINDHOVEN airport - ZURICH airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
EINDHOVEN airport - PRAHA/RUZYNE airport;:;:;:;:;:;:;:;:;:;466;17,348;14,591;13,067;:;:;:;17,634;35,895;45,465;34,759;19,325;21,365
EINDHOVEN airport - BRNO/TURANY airport;:;:;:;:;:;:;:;:;:;:;:;:;6,742;8,053;7,833;7,962;6,105;:;:;:;:;:
EINDHOVEN airport - HAMBURG airport;5,626;4,904;4,197;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
EINDHOVEN airport - MUENCHEN airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;21,651;17,181;:;:;:;:
EINDHOVEN airport - BERLIN-TEGEL airport;:;:;:;:;:;:;:;:;:;:;:;:;5,707;11,998;14,775;:;:;:;:;:;:;:
EINDHOVEN airport - KOBENHAVN/KASTRUP airport;:;:;:;:;:;:;:;:;:;:;:;:;:;11,039;12,010;21,886;25,828;19,166;15,710;15,873;14,997;13,641
EINDHOVEN airport - ATHINAI/ELEFTHERIOS VENIZELOS airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;8,216;16,199;11,822;17,549;17,288;35,671;23,107;31,240
EINDHOVEN airport - IRAKLION/NIKOS KAZANTZAKIS airport;:;:;:;:;:;:;:;8,803;12,716;12,047;8,561;:;8,920;:;8,203;8,079;6,238;15,075;15,003;25,870;30,546;32,210
EINDHOVEN airport - KOS/IPPOKRATIS airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;5,870;:;15,127;17,009;:;14,060
EINDHOVEN airport - RODOS/DIAGORAS airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;18,138;17,820
EINDHOVEN airport - CHANIA/IOANNIS DASKALOGIANNIS airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;8,648;:;:;:;:;:;:
EINDHOVEN airport - THESSALONIKI/MAKEDONIA airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;13,581;13,507;:;:
EINDHOVEN airport - GRAN CANARIA airport;:;:;:;:;:;:;6,080;6,151;10,013;9,353;5,814;13,571;14,793;11,227;11,324;8,889;12,376;22,824;26,602;23,638;20,659;20,652
EINDHOVEN airport - LANZAROTE airport;:;:;:;:;:;:;:;:;:;:;:;6,121;:;:;5,951;8,615;11,664;12,759;13,238;:;8,965;13,814
EINDHOVEN airport - TENERIFE SUR/REINA SOFIA airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;8,423;9,598;17,561;17,508;18,018;28,072;29,528
EINDHOVEN airport - ALICANTE airport;:;:;:;:;:;:;:;9,549;12,902;11,843;25,152;36,008;33,144;43,821;50,291;53,475;46,831;72,170;77,432;81,950;83,300;90,264
EINDHOVEN AIRPORT - BILBAO AIRPORT;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;11,197
EINDHOVEN airport - BARCELONA/EL PRAT airport;:;:;:;:;:;:;:;:;:;:;:;18,077;22,446;25,846;27,736;28,865;36,975;60,418;48,895;44,805;51,030;44,582
EINDHOVEN airport - GIRONA airport;:;:;:;:;25,790;29,637;31,388;46,437;31,294;31,443;26,132;23,530;19,863;19,195;24,731;25,429;20,793;26,399;27,014;31,171;:;18,364
EINDHOVEN airport - IBIZA airport;:;:;:;:;:;:;:;:;:;:;:;16,515;19,352;26,129;38,611;40,483;38,274;60,500;65,163;70,733;69,378;57,740
EINDHOVEN airport - MURCIA/SAN JAVIER airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;8,426;7,063;:;:;:;:;:
EINDHOVEN airport - ADOLFO SUAREZ MADRID-BARAJAS airport;:;:;:;:;:;:;:;28,439;30,987;18,865;18,343;15,855;:;13,103;13,757;13,581;10,976;13,891;18,508;19,850;13,995;:
EINDHOVEN airport - MALAGA/COSTA DEL SOL airport;:;:;:;:;:;:;:;10,893;15,590;16,574;16,078;39,301;43,480;48,404;50,867;51,987;44,997;73,725;79,788;85,703;96,447;106,823
EINDHOVEN airport - PALMA DE MALLORCA airport;:;:;:;:;:;:;:;:;:;:;:;23,282;23,614;24,833;34,443;37,319;31,589;46,640;49,093;55,119;58,723;61,284
EINDHOVEN airport - REUS airport;:;:;:;:;:;:;:;:;:;5,679;17,333;18,889;16,012;15,828;20,734;20,911;17,769;23,920;22,230;22,491;19,169;23,896
EINDHOVEN airport - VALENCIA airport;:;:;:;:;:;:;:;:;15,209;:;:;:;7,622;8,555;10,849;27,246;22,505;36,929;63,800;72,009;74,085;79,614
EINDHOVEN airport - SEVILLA airport;:;:;:;:;:;:;:;:;:;:;:;10,853;7,982;7,603;8,780;8,980;7,230;9,162;24,139;25,855;25,624;26,410
EINDHOVEN airport - CARCASSONNE/SALVAZA airport;:;:;:;:;:;:;:;:;:;:;:;:;:;6,266;7,345;:;:;:;:;:;:;:
EINDHOVEN airport - MARSEILLE-PROVENCE airport;:;:;:;:;:;:;:;28,127;29,301;30,502;25,060;12,941;15,394;15,630;16,077;17,371;14,210;17,780;10,371;13,539;12,718;9,130
EINDHOVEN airport - NICE-COTE D'AZUR airport;:;:;:;:;:;:;:;:;:;:;:;10,848;9,680;10,310;12,577;19,349;19,954;26,957;28,266;27,619;25,060;25,470
EINDHOVEN airport - PARIS-CHARLES DE GAULLE airport;10,029;9,750;8,066;6,485;6,279;:;10,886;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
EINDHOVEN airport - ZAGREB/FRANJO TUDJMAN airport;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;8,933
EINDHOVEN airport - BUDAPEST/LISZT FERENC INTERNATIONAL airport;:;:;:;:;:;:;:;12,317;16,261;25,575;25,787;39,856;65,299;56,402;50,578;48,302;58,948;67,383;67,408;77,044;59,396;63,682
EINDHOVEN airport - DEBRECEN airport;:;:;:;:;:;:;:;:;:;:;:;:;:;7,687;8,012;7,729;9,293;:;9,425;12,963;:;:
