Data extracted on 14/10/2024 15:15:52 from [ESTAT];;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dataset: ;Air passenger transport routes between partner airports and main airports in the Netherlands [avia_par_nl__custom_13280147];;;;;;;;;;;;;;;;;;;;;;;;;;;
Last updated: ;25/09/2024 11:00;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time frequency;;Annual;;;;;;;;;;;;;;;;;;;;;;;;;;
Unit of measure;;Passenger;;;;;;;;;;;;;;;;;;;;;;;;;;
Traffic and transport measurement;;Passengers on board;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TIME;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;;2022;;2023;
AIRP_PR (Labels);;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMSTERDAM/SCHIPHOL airport - ALAJUELA/JUAN SANTAMARIA INTL. airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - HABANA/JOSE MARTI INTL. airport;:;;:;;:;;76,674;;80,963;;86,205;;137,268;;180,431;;142,030;;97,678;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - AMILCAR CABRAL/SAL ISLAND airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - LARNAKA/INTL airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - PRAHA/RUZYNE airport;396,296;;461,556;;402,559;;439,975;;454,542;;520,757;;601,123;;658,230;;691,322;;758,629;;213,630;;250,873;;447,185;;537,734;
AMSTERDAM/SCHIPHOL airport - BERLIN-BRANDENBURG airport;:;;147,579;;167,232;;205,034;;226,764;;255,051;;309,075;;306,400;;316,638;;317,320;;104,256;b;312,216;;680,176;;814,744;
AMSTERDAM/SCHIPHOL airport - FRANKFURT/MAIN airport;578,411;;710,218;;717,915;;727,099;;754,251;;800,172;;817,514;;842,842;;865,134;;882,532;;240,164;;206,870;;505,660;;646,235;
AMSTERDAM/SCHIPHOL airport - MUENSTER/OSNABRUECK airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - HAMBURG airport;300,968;;345,245;;384,313;;371,741;;392,931;;467,314;;501,317;;458,894;;482,460;;477,238;;155,842;;172,049;;277,332;;350,697;
AMSTERDAM/SCHIPHOL airport - KOELN/BONN airport;97,637;;101,833;;96,578;;87,620;;86,716;;82,059;;:;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - DUESSELDORF airport;177,940;;185,880;;182,630;;172,091;;185,293;;205,033;;227,196;;234,651;;254,510;;257,004;;87,791;;111,664;;172,477;;213,832;
AMSTERDAM/SCHIPHOL airport - MUENCHEN airport;577,072;;676,793;;689,511;;693,235;;731,493;;789,666;;795,485;;954,711;;996,325;;971,192;;261,908;;255,979;;611,516;;718,830;
AMSTERDAM/SCHIPHOL airport - NUERNBERG airport;140,643;;148,743;;160,003;;161,353;;169,053;;186,670;;192,463;;188,397;;197,368;;198,424;;:;;:;;112,686;;169,094;
AMSTERDAM/SCHIPHOL airport - STUTTGART airport;174,003;;191,202;;206,528;;210,735;;228,863;;284,617;;313,330;;326,137;;345,946;;345,419;;112,695;;113,439;;214,598;;284,700;
AMSTERDAM/SCHIPHOL airport - BERLIN-TEGEL airport;412,946;;471,545;;431,624;;460,933;;497,244;;534,471;;563,623;;593,605;;662,422;;687,425;;198,241;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - HANNOVER airport;155,211;;163,883;;162,555;;167,029;;168,603;;170,760;;177,897;;179,109;;193,515;;202,215;;:;;:;;106,017;;148,940;
AMSTERDAM/SCHIPHOL airport - BREMEN airport;119,411;;131,081;;138,385;;144,199;;141,413;;152,589;;155,555;;164,449;;172,691;;172,038;;:;;:;;90,328;;131,783;
AMSTERDAM/SCHIPHOL airport - PADERBORN/LIPPSTADT airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - HANNOVER UIR airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - BILLUND airport;246,011;;261,120;;279,190;;285,201;;306,898;;334,620;;344,548;;365,899;;391,026;;409,300;;135,960;;149,558;;315,360;;347,832;
AMSTERDAM/SCHIPHOL airport - KOBENHAVN/KASTRUP airport;708,160;;831,995;;822,803;;806,424;;889,099;;913,247;;975,326;;1,033,831;;1,090,890;;1,110,487;;353,468;;398,972;;972,998;;1,122,161;
AMSTERDAM/SCHIPHOL airport - AALBORG airport;:;;:;;110,081;;136,850;;157,112;;171,179;;195,343;;212,233;;228,708;;234,893;;:;;77,166;;153,830;;177,172;
AMSTERDAM/SCHIPHOL airport - PUNTA CANA INTL. airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - GUAYAQUIL airport;:;;:;;:;;89,025;;104,630;;103,752;;:;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - QUITO/MARISCAL SUCRE INTL airport;:;;:;;:;;:;;:;;:;;:;;:;;218,244;;209,239;;:;;94,060;;187,175;;181,956;
AMSTERDAM/SCHIPHOL airport - QUITO airport;:;;:;;:;;96,342;;107,658;;106,620;;201,174;;141,980;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - LENNART MERI TALLINN airport;:;;:;;94,124;;86,980;;83,842;;80,246;;86,484;;109,681;;108,284;;81,694;;:;;:;;75,329;;87,810;
AMSTERDAM/SCHIPHOL airport - CAIRO/INTL airport;244,211;;171,452;;168,370;;168,403;;152,497;;153,872;;169,376;;81,499;;92,627;;99,277;;:;;90,010;;91,096;;109,752;
