Data extracted on 14/10/2024 15:15:52 from [ESTAT];;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dataset: ;Air passenger transport routes between partner airports and main airports in the Netherlands [avia_par_nl__custom_13280147];;;;;;;;;;;;;;;;;;;;;;;;;;;
Last updated: ;25/09/2024 11:00;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time frequency;;Annual;;;;;;;;;;;;;;;;;;;;;;;;;;
Unit of measure;;Passenger;;;;;;;;;;;;;;;;;;;;;;;;;;
Traffic and transport measurement;;Passengers on board;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TIME;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;;2022;;2023;
AIRP_PR (Labels);;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMSTERDAM/SCHIPHOL airport - LAS VEGAS/MCCARRAN INTERNATIONAL, NV. airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;111,004;;116,185;
AMSTERDAM/SCHIPHOL airport - LOS ANGELES INTERNATIONAL, CA. airport;214,857;;219,949;;240,444;;260,742;;261,476;;281,596;;296,797;;316,032;;410,238;;392,143;;81,592;;121,862;;305,897;;301,462;
AMSTERDAM/SCHIPHOL airport - ORLANDO INTERNATIONAL, FL. airport;:;;:;;:;;:;;:;;:;;:;;:;;92,800;;111,927;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - MEMPHIS INTERNATIONAL, TENN. airport;127,562;;105,175;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - MIAMI INTERNATIONAL, FL. airport;:;;98,038;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - MINNEAPOLIS-ST. PAUL INTERNATIONAL (WOLD CHAMBERLAIN), MN. airport;463,064;;448,059;;438,910;;465,569;;457,090;;471,067;;451,627;;537,956;;552,291;;566,998;;83,385;;120,615;;398,833;;523,052;
AMSTERDAM/SCHIPHOL airport - CHICAGO - O'HARE INTERNATIONAL, IL. airport;262,716;;264,875;;260,992;;255,269;;249,852;;248,456;;247,846;;255,367;;295,411;;289,250;;:;;104,566;;269,927;;299,014;
AMSTERDAM/SCHIPHOL airport - ORLANDO, FLA. airport;82,357;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - PORTLAND INTERNATIONAL, OR. airport;113,303;;125,510;;134,467;;149,919;;146,898;;151,677;;158,626;;158,065;;162,526;;156,863;;:;;:;;101,632;;160,162;
AMSTERDAM/SCHIPHOL airport - PHILADELPHIA INTERNATIONAL, PA. airport;89,735;;95,054;;98,564;;98,872;;94,927;;94,500;;94,053;;91,735;;108,043;;117,892;;:;;:;;98,444;;125,383;
AMSTERDAM/SCHIPHOL airport - SEATTLE/SEATTLE-TACOMA INTERNATIONAL, WA. airport;214,825;;242,923;;236,992;;276,331;;255,569;;259,417;;259,745;;272,385;;277,143;;269,036;;:;;110,449;;265,596;;288,664;
AMSTERDAM/SCHIPHOL airport - SAN FRANCISCO/INTL,CA. airport;214,540;;222,079;;223,238;;221,345;;225,517;;227,710;;257,216;;283,386;;299,908;;407,537;;:;;:;;305,821;;274,158;
AMSTERDAM/SCHIPHOL airport - SALT LAKE CITY INTERNATIONAL, UT. airport;:;;:;;:;;:;;:;;:;;126,604;;172,390;;179,100;;185,970;;:;;:;;214,285;;222,944;
AMSTERDAM/SCHIPHOL airport - MARGARITA, NUEVA ESPARTA airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - MAIQUETIA, INTL, SIMON BOLIVAR, VARGAS airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - CAPE TOWN (CAPE TOWN INTERNATIONAL airport) airport;177,873;;180,557;;189,156;;167,992;;186,366;;185,070;;215,485;;232,511;;250,069;;261,109;;86,790;;:;;220,305;;277,140;
AMSTERDAM/SCHIPHOL airport - O.R TAMBO INTERNATIONAL airport;203,261;;196,994;;201,616;;209,927;;215,885;;:;;:;;:;;:;;:;;:;;:;;:;;:;
AMSTERDAM/SCHIPHOL airport - OLIFANTS RIVER BRIDGE airport;:;;:;;:;;:;;:;;210,799;;219,326;;223,241;;230,137;;238,038;;81,041;;76,893;;222,925;;249,055;
MAASTRICHT/AACHEN airport - BERLIN-BRANDENBURG airport;:;;49,685;;29,679;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
MAASTRICHT/AACHEN airport - MUENCHEN airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
MAASTRICHT/AACHEN airport - HURGHADA / INTL airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;27,304;;:;;:;;:;;:;
MAASTRICHT/AACHEN airport - IRAKLION/NIKOS KAZANTZAKIS airport;:;;16,158;;16,216;;16,382;;15,598;;14,580;;:;;17,253;;22,175;;31,755;;:;;:;;30,390;;14,401;
MAASTRICHT/AACHEN airport - KOS/IPPOKRATIS airport;:;;:;;:;;:;;:;;:;;:;;:;;22,321;;18,244;;:;;:;;11,556;;:;
MAASTRICHT/AACHEN airport - RODOS/DIAGORAS airport;:;;:;;:;;:;;:;;:;;:;;:;;20,276;;19,147;;:;;:;;14,024;;10,178;
MAASTRICHT/AACHEN airport - ZAKINTHOS/DIONISIOS SOLOMOS airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;12,789;
MAASTRICHT/AACHEN airport - GRAN CANARIA airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
MAASTRICHT/AACHEN airport - TENERIFE SUR/REINA SOFIA airport;:;;21,607;;:;;16,620;;17,300;;:;;:;;:;;:;;:;;:;;:;;:;;:;
MAASTRICHT/AACHEN airport - ALICANTE airport;57,068;;57,441;;40,374;;48,225;;44,958;;45,589;;46,272;;46,094;;46,080;;47,308;;:;;:;;35,834;;33,578;
MAASTRICHT/AACHEN airport - BARCELONA/EL PRAT airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;26,280;;28,990;
MAASTRICHT/AACHEN airport - GIRONA airport;32,805;;30,506;;31,572;;42,346;;31,408;;23,308;;22,868;;22,740;;17,961;;20,790;;:;;:;;:;;:;
MAASTRICHT/AACHEN airport - MALAGA/COSTA DEL SOL airport;24,486;;25,346;;21,191;;19,995;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
MAASTRICHT/AACHEN airport - PALMA DE MALLORCA airport;:;;:;;24,858;;27,277;;17,397;;:;;:;;:;;:;;:;;:;;:;;:;;:;
MAASTRICHT/AACHEN airport - REUS airport;18,828;;24,405;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
MAASTRICHT/AACHEN airport - VALENCIA airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
MAASTRICHT/AACHEN airport - BUDAPEST/LISZT FERENC INTERNATIONAL airport;:;;:;;:;;:;;:;;16,937;;:;;:;;:;;:;;:;;:;;:;;:;
MAASTRICHT/AACHEN airport - DUBLIN airport;:;;:;;:;;31,650;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
MAASTRICHT/AACHEN airport - BARI/PALESE airport;:;;:;;15,999;;18,784;;18,009;;19,695;;19,543;;20,500;;20,966;;19,459;;:;;:;;25,394;;22,668;
MAASTRICHT/AACHEN airport - TRAPANI/BIRGI airport;23,508;;25,878;;27,890;;29,135;;25,030;;:;;:;;:;;:;;:;;:;;:;;:;;:;
MAASTRICHT/AACHEN airport - BERGAMO/ORIO AL SERIO airport;:;;:;;21,851;;30,588;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
MAASTRICHT/AACHEN airport - TREVISO/S.ANGELO airport;:;;:;;:;;21,217;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
MAASTRICHT/AACHEN airport - PISA/S. GIUSTO airport;13,944;;16,204;;16,819;;19,407;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
MAASTRICHT/AACHEN airport - LUQA airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;26,397;;:;;:;;:;;:;
MAASTRICHT/AACHEN airport - AMSTERDAM/SCHIPHOL airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
MAASTRICHT/AACHEN airport - ROTTERDAM airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
MAASTRICHT/AACHEN airport - KATOWICE/PYRZOWICE airport;:;;:;;:;;:;;:;;29,189;;32,047;;27,314;;:;;:;;:;;:;;:;;:;
MAASTRICHT/AACHEN airport - FARO airport;30,980;;30,295;;19,092;;21,479;;21,063;;20,756;;:;;17,516;;:;;:;;:;;:;;:;;:;
MAASTRICHT/AACHEN airport - PORTO airport;:;;25,518;;19,435;;25,167;;22,738;;20,704;;:;;:;;:;;:;;:;;:;;:;;29,217;
MAASTRICHT/AACHEN airport - BUCURESTI/BANEASA-AUREL VLAICU airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
MAASTRICHT/AACHEN airport - ANTALYA (MIL-CIV) airport;12,619;;26,457;;19,414;;23,642;;26,626;;18,883;;:;;16,311;;38,255;;64,786;;:;;:;;46,035;;22,926;
MAASTRICHT/AACHEN airport - ISTANBUL/ATATURK airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
MAASTRICHT/AACHEN airport - MUGLA/DALAMAN airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
MAASTRICHT/AACHEN airport - MUGLA/MILAS-BODRUM airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;18,559;;:;;:;;12,089;;:;
MAASTRICHT/AACHEN airport - LONDON STANSTED airport;:;;:;;:;;44,569;;:;;:;;:;;:;;:;;:;;:;;:;;22,910;;18,283;
EINDHOVEN airport - TIRANA airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;57,776;;99,620;
EINDHOVEN airport - INNSBRUCK airport;:;;:;;:;;22,163;;37,155;;38,042;;46,511;;40,386;;40,297;;47,950;;34,882;;:;;:;;44,800;
EINDHOVEN airport - WIEN-SCHWECHAT airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;58,201;;48,683;;32,662;;62,140;;63,118;
EINDHOVEN airport - TUZLA airport;:;;:;;:;;:;;:;;31,419;;31,684;;:;;40,207;;48,153;;:;;21,293;;:;;:;
EINDHOVEN airport - SOFIA airport;36,493;;42,712;;45,287;;58,317;;64,004;;62,184;;87,426;;146,115;;150,090;;140,792;;92,979;;94,727;;150,701;;201,737;
EINDHOVEN airport - VARNA airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;32,588;;38,752;;50,650;;54,982;
EINDHOVEN airport - ZURICH airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
EINDHOVEN airport - PRAHA/RUZYNE airport;67,563;;55,575;;48,128;;:;;:;;:;;73,671;;142,027;;177,182;;138,097;;24,552;;:;;58,510;;75,693;
EINDHOVEN airport - BRNO/TURANY airport;:;;:;;26,698;;32,766;;29,744;;30,677;;28,112;;:;;:;;:;;:;;:;;:;;:;
EINDHOVEN airport - HAMBURG airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
EINDHOVEN airport - MUENCHEN airport;:;;:;;:;;:;;:;;:;;77,401;;48,053;;:;;:;;:;;:;;:;;:;
EINDHOVEN airport - BERLIN-TEGEL airport;:;;:;;22,075;;46,319;;48,906;;:;;:;;:;;:;;:;;:;;:;;:;;:;
EINDHOVEN airport - KOBENHAVN/KASTRUP airport;:;;:;;:;;28,525;;28,326;;69,591;;92,293;;67,675;;56,651;;57,795;;:;;:;;47,776;;46,336;
EINDHOVEN airport - ATHINAI/ELEFTHERIOS VENIZELOS airport;:;;:;;:;;:;;24,093;;45,523;;42,941;;51,434;;69,402;;119,109;;36,292;;33,372;;84,529;;91,403;
EINDHOVEN airport - IRAKLION/NIKOS KAZANTZAKIS airport;25,529;;:;;20,670;;:;;23,991;;22,424;;25,927;;50,618;;41,312;;68,108;;:;;45,043;;80,245;;81,472;
EINDHOVEN airport - KOS/IPPOKRATIS airport;:;;:;;:;;:;;:;;:;;29,630;;:;;40,954;;43,239;;:;;24,424;;40,760;;:;
EINDHOVEN airport - RODOS/DIAGORAS airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;44,746;;50,352;
EINDHOVEN airport - CHANIA/IOANNIS DASKALOGIANNIS airport;:;;:;;:;;:;;:;;20,887;;:;;:;;:;;:;;:;;:;;:;;:;
EINDHOVEN airport - THESSALONIKI/MAKEDONIA airport;:;;:;;:;;:;;:;;:;;:;;:;;44,886;;44,073;;:;;:;;:;;:;
EINDHOVEN airport - GRAN CANARIA airport;25,585;;53,403;;57,567;;43,475;;44,864;;49,088;;74,192;;104,225;;95,275;;82,504;;:;;40,059;;76,881;;84,762;
EINDHOVEN airport - LANZAROTE airport;:;;22,132;;:;;:;;22,312;;42,168;;54,708;;55,623;;52,450;;:;;:;;:;;:;;:;
EINDHOVEN airport - TENERIFE SUR/REINA SOFIA airport;:;;:;;:;;:;;:;;43,852;;49,112;;69,384;;68,716;;75,346;;:;;36,946;;89,438;;102,504;
EINDHOVEN airport - ALICANTE airport;100,830;;130,592;;128,448;;163,376;;180,531;;197,658;;218,068;;263,327;;273,968;;287,100;;107,624;;171,027;;303,597;;330,147;
EINDHOVEN AIRPORT - BILBAO AIRPORT;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
EINDHOVEN airport - BARCELONA/EL PRAT airport;:;;56,061;;70,400;;81,876;;89,482;;99,807;;147,626;;176,380;;154,676;;143,804;;23,624;;78,729;;185,564;;202,242;
EINDHOVEN airport - GIRONA airport;105,868;;86,268;;75,385;;75,486;;85,463;;85,115;;87,100;;96,124;;92,842;;96,515;;21,908;;:;;:;;:;
EINDHOVEN airport - IBIZA airport;:;;45,507;;50,800;;67,757;;90,579;;109,253;;125,987;;156,010;;165,700;;174,638;;33,194;;113,840;;154,832;;187,880;
EINDHOVEN airport - MURCIA/SAN JAVIER airport;:;;:;;:;;:;;:;;20,623;;25,598;;:;;:;;:;;:;;:;;:;;:;
EINDHOVEN airport - ADOLFO SUAREZ MADRID-BARAJAS airport;70,827;;60,312;;:;;39,917;;48,975;;54,602;;56,914;;63,947;;76,480;;74,743;;:;;22,810;;57,091;;54,795;
EINDHOVEN airport - MALAGA/COSTA DEL SOL airport;85,292;;132,833;;148,160;;163,711;;180,954;;194,216;;212,062;;273,467;;282,905;;293,959;;105,726;;172,373;;299,755;;343,001;
EINDHOVEN airport - PALMA DE MALLORCA airport;:;;61,238;;63,024;;73,035;;86,096;;101,546;;109,389;;134,308;;138,219;;151,690;;26,222;;85,146;;155,960;;165,484;
EINDHOVEN airport - REUS airport;59,479;;55,172;;44,889;;52,762;;61,236;;60,765;;62,246;;71,521;;64,507;;52,211;;:;;27,744;;54,418;;50,721;
EINDHOVEN airport - VALENCIA airport;:;;:;;26,306;;32,958;;38,036;;76,130;;84,623;;137,587;;210,056;;226,543;;53,204;;110,633;;237,120;;237,357;
EINDHOVEN airport - SEVILLA airport;:;;41,710;;31,416;;31,262;;33,260;;35,173;;34,228;;43,474;;86,074;;97,742;;30,032;;41,282;;105,934;;116,353;
EINDHOVEN airport - CARCASSONNE/SALVAZA airport;:;;:;;:;;20,249;;23,572;;:;;:;;:;;:;;:;;:;;:;;:;;:;
EINDHOVEN airport - MARSEILLE-PROVENCE airport;93,498;;41,294;;53,665;;54,773;;51,586;;56,200;;52,487;;55,160;;41,675;;45,037;;:;;:;;47,512;;42,345;
EINDHOVEN airport - NICE-COTE D'AZUR airport;:;;35,028;;31,389;;33,068;;42,277;;57,717;;63,781;;77,424;;82,079;;70,882;;:;;23,347;;64,478;;61,928;
EINDHOVEN airport - PARIS-CHARLES DE GAULLE airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
EINDHOVEN airport - ZAGREB/FRANJO TUDJMAN airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
EINDHOVEN airport - BUDAPEST/LISZT FERENC INTERNATIONAL airport;119,427;;145,006;;228,971;;207,820;;182,277;;196,539;;247,638;;262,474;;266,686;;295,534;;97,359;;87,625;;205,724;;249,251;
EINDHOVEN airport - DEBRECEN airport;:;;:;;:;;29,808;;30,716;;31,729;;39,301;;:;;41,869;;48,414;;:;;:;;:;;:;
EINDHOVEN airport - DUBLIN airport;76,433;;109,585;;100,292;;102,309;;127,359;;120,427;;112,965;;117,930;;115,787;;111,768;;20,432;;:;;55,492;;55,030;
EINDHOVEN airport - TEL-AVIV/BEN GURION airport;:;;:;;:;;:;;:;;:;;:;;:;;44,409;;50,264;;:;;:;;:;;:;
EINDHOVEN airport - PESCARA airport;36,973;;27,661;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
EINDHOVEN airport - BRINDISI/CASALE airport;20,925;;:;;23,905;;32,249;;36,378;;38,818;;35,379;;:;;:;;:;;:;;:;;40,323;;45,620;
EINDHOVEN airport - CATANIA/FONTANAROSSA airport;:;;:;;:;;:;;35,560;;45,731;;47,501;;53,528;;50,003;;47,536;;:;;21,983;;43,510;;44,857;
EINDHOVEN airport - TRAPANI/BIRGI airport;30,076;;31,902;;27,742;;32,532;;28,039;;31,127;;27,138;;:;;:;;:;;:;;:;;:;;:;
EINDHOVEN airport - ALGHERO/FERTILIA airport;28,711;;39,953;;39,689;;37,312;;40,644;;41,446;;26,353;;:;;:;;:;;:;;:;;:;;:;
EINDHOVEN airport - MILANO/MALPENSA airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;28,558;;:;;:;;:;
EINDHOVEN airport - BERGAMO/ORIO AL SERIO airport;158,395;;119,689;;107,469;;110,336;;110,099;;117,103;;116,681;;121,993;;123,664;;122,258;;34,100;;52,740;;150,968;;171,757;
EINDHOVEN airport - TORINO/CASELLE airport;:;;:;;:;;:;;:;;43,773;;:;;:;;:;;:;;:;;:;;:;;:;
EINDHOVEN airport - BOLOGNA/BORGO PANIGALE airport;:;;:;;:;;31,311;;37,733;;38,474;;37,830;;93,289;;92,228;;110,487;;24,049;;49,457;;109,220;;113,944;
EINDHOVEN airport - TREVISO/S.ANGELO airport;:;;:;;:;;:;;33,038;;47,747;;47,696;;48,794;;51,397;;51,206;;:;;:;;40,948;;43,355;
EINDHOVEN airport - VENEZIA/TESSERA airport;:;;:;;:;;:;;29,940;;:;;:;;:;;:;;:;;:;;:;;:;;:;
EINDHOVEN airport - ROMA/CIAMPINO airport;125,800;;118,640;;117,724;;120,562;;130,984;;121,259;;112,953;;125,766;;119,962;;107,032;;25,353;;30,337;;:;;:;
EINDHOVEN airport - ROMA/FIUMICINO airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;23,168;;145,323;;200,971;
EINDHOVEN airport - NAPOLI/CAPODICHINO airport;:;;:;;:;;34,831;;34,550;;:;;:;;:;;:;;:;;:;;:;;:;;:;
EINDHOVEN airport - PISA/S. GIUSTO airport;96,975;;88,272;;85,789;;98,493;;122,815;;119,099;;114,098;;120,035;;121,337;;120,723;;27,896;;54,664;;112,927;;113,628;
EINDHOVEN airport - KAUNAS INTL airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;40,377;;:;;:;;:;;:;
EINDHOVEN airport - VILNIUS INTL airport;:;;22,012;;42,374;;47,847;;56,684;;61,149;;62,508;;58,006;;60,953;;52,541;;24,327;;29,945;;99,371;;107,437;
EINDHOVEN airport - RIGA airport;:;;:;;35,036;;34,392;;39,482;;41,913;;39,983;;44,643;;63,809;;51,766;;:;;:;;:;;:;
EINDHOVEN airport - FES/SAISS airport;:;;:;;:;;24,795;;35,408;;34,887;;34,093;;:;;:;;:;;:;;:;;:;;:;
EINDHOVEN airport - OUJDA/ANGADS airport;:;;:;;:;;:;;:;;:;;:;;:;;41,471;;40,871;;:;;:;;:;;:;
EINDHOVEN airport - NADOR/EL AROUI airport;:;;:;;:;;:;;:;;29,012;;28,854;;:;;:;;:;;:;;25,930;;40,777;;:;
EINDHOVEN airport - MARRAKECH/MENARA airport;:;;:;;34,686;;41,767;;34,045;;34,501;;34,830;;45,890;;94,485;;108,938;;23,360;;:;;57,082;;89,203;
EINDHOVEN airport - SKOPJE airport;:;;:;;:;;31,655;;32,560;;32,642;;30,984;;:;;47,629;;57,639;;:;;28,235;;51,600;;77,164;
EINDHOVEN airport - LUQA airport;:;;31,428;;30,208;;34,006;;33,009;;34,364;;34,231;;:;;:;;:;;:;;:;;:;;:;
EINDHOVEN airport - AMSTERDAM/SCHIPHOL airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
EINDHOVEN airport - MOSS/RYGGE airport;21,208;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
EINDHOVEN airport - GDANSK IM LECHA WALESY airport;26,160;;33,140;;61,440;;44,896;;53,380;;55,299;;67,294;;88,698;;124,213;;132,232;;54,841;;42,650;;102,492;;129,967;
EINDHOVEN airport - KRAKOW/BALICE airport;:;;:;;31,439;;34,727;;40,264;;54,969;;65,737;;91,300;;102,435;;174,342;;81,365;;78,278;;206,210;;194,666;
EINDHOVEN airport - KATOWICE/PYRZOWICE airport;55,579;;65,687;;69,674;;70,322;;89,370;;103,322;;99,722;;108,160;;142,000;;148,777;;63,953;;36,737;;105,366;;120,332;
EINDHOVEN airport - LUBLIN airport;:;;:;;:;;:;;:;;:;;26,450;;:;;:;;42,387;;21,027;;:;;:;;:;
EINDHOVEN airport - WARSZAWA/MODLIN airport;:;;:;;:;;:;;53,838;;64,818;;65,683;;67,369;;66,284;;62,945;;25,421;;34,126;;77,196;;72,750;
EINDHOVEN airport - POZNAN/LAWICA airport;:;;:;;:;;:;;:;;29,293;;29,876;;40,151;;42,007;;53,861;;:;;:;;:;;:;
EINDHOVEN airport - WARSZAWA/CHOPINA airport;27,675;;30,094;;22,155;;60,440;;39,221;;53,738;;54,369;;63,959;;73,640;;87,251;;39,795;;32,620;;78,254;;94,041;
EINDHOVEN airport - WROCLAW/STRACHOWICE airport;20,672;;34,357;;37,465;;37,676;;49,352;;58,006;;58,248;;68,000;;81,683;;86,635;;28,186;;:;;58,218;;88,975;
EINDHOVEN airport - FARO airport;75,993;;105,438;;114,488;;142,626;;149,634;;160,775;;165,973;;225,335;;226,055;;236,304;;111,437;;120,034;;232,393;;244,690;
EINDHOVEN airport - PORTO airport;65,455;;79,495;;74,363;;73,088;;75,548;;76,331;;89,343;;94,723;;90,635;;89,869;;34,342;;52,743;;110,933;;116,850;
EINDHOVEN airport - LISBOA airport;:;;:;;34,242;;54,927;;61,521;;160,634;;162,581;;191,514;;205,091;;194,945;;54,610;;75,162;;160,063;;160,820;
EINDHOVEN airport - BUCURESTI/BANEASA-AUREL VLAICU airport;:;;24,086;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
EINDHOVEN airport - CLUJ NAPOCA/AVRAM IANCU airport;:;;:;;:;;:;;39,938;;42,051;;39,864;;46,051;;50,781;;51,043;;22,061;;31,891;;52,791;;64,997;
EINDHOVEN airport - IASI airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;43,959;;42,631;
EINDHOVEN airport - BUCURESTI/HENRI COANDA airport;:;;:;;23,474;;36,473;;37,451;;31,414;;28,459;;:;;61,918;;99,904;;44,742;;44,751;;111,606;;135,062;
EINDHOVEN airport - TIMISOARA/TRAIAN VUIA airport;:;;:;;:;;:;;:;;:;;29,500;;:;;:;;:;;:;;:;;:;;:;
EINDHOVEN airport - BEOGRAD/NIKOLA TESLA airport;:;;22,536;;38,000;;49,653;;48,076;;45,086;;43,232;;45,576;;56,868;;70,235;;25,690;;32,355;;68,618;;116,572;
EINDHOVEN airport - MOSCOW/VNUKOVO airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;44,988;;:;;:;;:;;:;
EINDHOVEN airport - STOCKHOLM/SKAVSTA airport;68,716;;65,918;;64,581;;51,570;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
EINDHOVEN airport - STOCKHOLM/ARLANDA airport;:;;:;;:;;:;;:;;:;;:;;:;;41,466;;:;;:;;:;;:;;:;
EINDHOVEN airport - BRATISLAVA/M.R.STEFANIK airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
EINDHOVEN airport - ANTALYA (MIL-CIV) airport;112,696;;156,967;;125,197;;119,416;;137,705;;124,752;;79,420;;70,794;;63,477;;76,827;;:;;:;;77,860;;54,001;
EINDHOVEN airport - ISTANBUL/ATATURK airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
EINDHOVEN airport - IZMIR/ADNAN MENDERES airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
EINDHOVEN airport - MUGLA/DALAMAN airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
EINDHOVEN airport - MUGLA/MILAS-BODRUM airport;:;;26,268;;27,878;;30,134;;20,497;;25,490;;:;;:;;:;;:;;:;;:;;:;;:;
EINDHOVEN airport - ISTANBUL/SABIHA GOKCEN airport;:;;:;;36,961;;48,301;;44,780;;47,720;;:;;:;;:;;:;;:;;:;;:;;43,121;
EINDHOVEN airport - MANCHESTER airport;:;;:;;:;;:;;:;;65,147;;71,207;;74,304;;72,158;;68,714;;20,406;;:;;46,376;;50,100;
EINDHOVEN airport - LONDON GATWICK airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
EINDHOVEN airport - LONDON/CITY airport;27,110;;26,735;;26,475;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
EINDHOVEN airport - LONDON HEATHROW airport;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
EINDHOVEN airport - EDINBURGH airport;:;;:;;:;;:;;:;;:;;:;;:;;49,720;;48,566;;:;;:;;:;;:;
EINDHOVEN airport - LONDON STANSTED airport;182,124;;209,103;;207,965;;205,223;;250,928;;242,431;;276,380;;263,017;;258,139;;316,132;;73,802;;40,915;;305,984;;337,872;
GRONINGEN/EELDE airport - MUENCHEN airport;:;;:;;:;;:;;:;;:;;:;;:;;15,755;;:;;:;;:;;:;;:;
GRONINGEN/EELDE airport - KOBENHAVN/KASTRUP airport;:;;:;;:;;:;;:;;:;;:;;24,585;;35,807;;:;;:;;:;;:;;:;
GRONINGEN/EELDE airport - IRAKLION/NIKOS KAZANTZAKIS airport;:;;:;;16,018;;16,230;;15,655;;14,699;;16,102;;40,861;;32,955;;34,391;;:;;:;;:;;:;
GRONINGEN/EELDE airport - KOS/IPPOKRATIS airport;:;;:;;16,080;;17,103;;16,438;;15,609;;:;;:;;:;;:;;:;;:;;:;;:;
GRONINGEN/EELDE airport - GRAN CANARIA airport;:;;:;;32,670;;32,290;;31,959;;32,583;;23,892;;47,655;;26,655;;34,002;;:;;:;;:;;:;
GRONINGEN/EELDE airport - LANZAROTE airport;:;;:;;:;;:;;:;;16,361;;15,232;;17,905;;10,336;;:;;:;;:;;:;;:;
